id,name,picture_url,genre1_id,genre1_name,genre2_id,genre2_name,genre3_id,genre3_name,genre4_id,genre4_name,genre5_id,genre5_name,genre6_id,genre6_name,genre7_id,genre7_name,genre8_id,genre8_name
21,"One Piece",https://cdn.myanimelist.net/images/anime/1244,1,Action,2,Adventure,10,Fantasy,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
22,"Tennis no Oujisama",https://cdn.myanimelist.net/images/anime/6/21,23,School,27,Shounen,30,Sports,0,blank,0,blank,0,blank,0,blank,0,"blank"
23,"Ring ni Kakero 1",https://cdn.myanimelist.net/images/anime/1146,1,Action,54,"Combat Sports",27,Shounen,30,Sports,0,blank,0,blank,0,blank,0,"blank"
24,"School Rumble",https://cdn.myanimelist.net/images/anime/4/75,4,Comedy,57,"Gag Humor",64,"Love Polygon",22,Romance,23,School,27,Shounen,0,blank,0,"blank"
25,Sunabouzu,https://cdn.myanimelist.net/images/anime/6/75,1,Action,2,Adventure,4,Comedy,9,Ecchi,24,Sci-Fi,42,Seinen,0,blank,0,"blank"
26,Texhnolyze,https://cdn.myanimelist.net/images/anime/1027,1,Action,8,Drama,68,"Organized Crime",40,Psychological,24,Sci-Fi,0,blank,0,blank,0,"blank"
27,"Trinity Blood",https://cdn.myanimelist.net/images/anime/10/2,1,Action,10,Fantasy,32,Vampire,0,blank,0,blank,0,blank,0,blank,0,"blank"
28,"Yakitate!! Japan",https://cdn.myanimelist.net/images/anime/3/76,4,Comedy,47,Gourmet,27,Shounen,0,blank,0,blank,0,blank,0,blank,0,"blank"
29,Zipang,https://cdn.myanimelist.net/images/anime/13/7,1,Action,50,"Adult Cast",8,Drama,13,Historical,38,Military,24,Sci-Fi,42,Seinen,78,"Time Travel"
30,"Shinseiki Evangelion",https://cdn.myanimelist.net/images/anime/1314,1,Action,5,"Avant Garde",46,"Award Winning",8,Drama,18,Mecha,40,Psychological,24,Sci-Fi,41,"Suspense"
31,"Shinseiki Evangelion Movie: Shi to Shinsei",https://cdn.myanimelist.net/images/anime/1993,1,Action,8,Drama,18,Mecha,40,Psychological,24,Sci-Fi,41,Suspense,0,blank,0,"blank"
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, ",https://cdn.myanimelist.net/images/anime/1404,1,Action,5,"Avant Garde",8,Drama,18,Mecha,40,Psychological,24,Sci-Fi,41,Suspense,0,"blank"
33,"Kenpuu Denki Berserk",https://cdn.myanimelist.net/images/anime/1384,1,Action,2,Adventure,8,Drama,10,Fantasy,58,Gore,14,Horror,38,Military,42,"Seinen"
43,"Koukaku Kidoutai",https://cdn.myanimelist.net/images/anime/10/8,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
44,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsu",https://cdn.myanimelist.net/images/anime/1656,1,Action,50,"Adult Cast",8,Drama,13,Historical,22,Romance,21,Samurai,27,Shounen,0,"blank"
45,"Rurouni Kenshin: Meiji Kenkaku Romantan",https://cdn.myanimelist.net/images/anime/1346,1,Action,4,Comedy,13,Historical,22,Romance,21,Samurai,27,Shounen,0,blank,0,"blank"
46,"Rurouni Kenshin: Meiji Kenkaku Romantan - Ish",https://cdn.myanimelist.net/images/anime/4/47,8,Drama,13,Historical,21,Samurai,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
47,Akira,https://cdn.myanimelist.net/images/anime/1408,1,Action,2,Adventure,58,Gore,14,Horror,38,Military,24,Sci-Fi,42,Seinen,37,"Supernatural"
48,.hack//Sign,https://cdn.myanimelist.net/images/anime/1443,2,Adventure,10,Fantasy,7,Mystery,79,"Video Game",0,blank,0,blank,0,blank,0,"blank"
49,"Aa! Megami-sama!",https://cdn.myanimelist.net/images/anime/11/7,4,Comedy,22,Romance,42,Seinen,37,Supernatural,0,blank,0,blank,0,blank,0,"blank"
50,"Aa! Megami-sama! (TV)",https://cdn.myanimelist.net/images/anime/1976,4,Comedy,22,Romance,42,Seinen,37,Supernatural,0,blank,0,blank,0,blank,0,"blank"
51,"Tenshi Kinryouku",https://cdn.myanimelist.net/images/anime/11/4,1,Action,8,Drama,72,Reincarnation,22,Romance,25,Shoujo,37,Supernatural,0,blank,0,"blank"
52,"Kidou Tenshi Angelic Layer",https://cdn.myanimelist.net/images/anime/1192,46,"Award Winning",4,Comedy,8,Drama,24,Sci-Fi,27,Shounen,11,"Strategy Game",0,blank,0,"blank"
53,"Ai Yori Aoshi",https://cdn.myanimelist.net/images/anime/7/10,4,Comedy,8,Drama,35,Harem,22,Romance,42,Seinen,0,blank,0,blank,0,"blank"
54,"Appleseed (Movie)",https://cdn.myanimelist.net/images/anime/9/57,1,Action,18,Mecha,38,Military,24,Sci-Fi,0,blank,0,blank,0,blank,0,"blank"
55,"Arc the Lad",https://cdn.myanimelist.net/images/anime/3/49,1,Action,2,Adventure,10,Fantasy,14,Horror,24,Sci-Fi,0,blank,0,blank,0,"blank"
56,Avenger,https://cdn.myanimelist.net/images/anime/13/1,2,Adventure,10,Fantasy,24,Sci-Fi,0,blank,0,blank,0,blank,0,blank,0,"blank"
57,Beck,https://cdn.myanimelist.net/images/anime/11/1,4,Comedy,8,Drama,19,Music,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
58,"Blue Gender",https://cdn.myanimelist.net/images/anime/1/20,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
59,Chobits,https://cdn.myanimelist.net/images/anime/4/24,4,Comedy,8,Drama,9,Ecchi,22,Romance,24,Sci-Fi,42,Seinen,0,blank,0,"blank"
60,"Chrno Crusade",https://cdn.myanimelist.net/images/anime/13/1,1,Action,13,Historical,6,Mythology,22,Romance,27,Shounen,37,Supernatural,0,blank,0,"blank"
61,D.N.Angel,https://cdn.myanimelist.net/images/anime/1126,1,Action,4,Comedy,10,Fantasy,22,Romance,23,School,25,Shoujo,0,blank,0,"blank"
62,"D.C.: Da Capo",https://cdn.myanimelist.net/images/anime/4/73,8,Drama,35,Harem,22,Romance,0,blank,0,blank,0,blank,0,blank,0,"blank"
63,DearS,https://cdn.myanimelist.net/images/anime/1207,4,Comedy,9,Ecchi,35,Harem,22,Romance,24,Sci-Fi,27,Shounen,0,blank,0,"blank"
64,"Rozen Maiden",https://cdn.myanimelist.net/images/anime/1424,1,Action,4,Comedy,8,Drama,10,Fantasy,42,Seinen,0,blank,0,blank,0,"blank"
65,"Rozen Maiden: Träumend",https://cdn.myanimelist.net/images/anime/4/10,1,Action,4,Comedy,8,Drama,10,Fantasy,42,Seinen,0,blank,0,blank,0,"blank"
66,"Azumanga Daiou The Animation",https://cdn.myanimelist.net/images/anime/1066,52,CGDCT,4,Comedy,57,"Gag Humor",23,School,0,blank,0,blank,0,blank,0,"blank"
67,"Basilisk: Kouga Ninpou Chou",https://cdn.myanimelist.net/images/anime/1103,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
68,"Black Cat (TV)",https://cdn.myanimelist.net/images/anime/1183,1,Action,2,Adventure,24,Sci-Fi,27,Shounen,31,"Super Power",0,blank,0,blank,0,"blank"
69,"Cluster Edge",https://cdn.myanimelist.net/images/anime/1980,1,Action,10,Fantasy,38,Military,24,Sci-Fi,0,blank,0,blank,0,blank,0,"blank"
71,"Full Metal Panic!",https://cdn.myanimelist.net/images/anime/2/75,1,Action,4,Comedy,18,Mecha,38,Military,24,Sci-Fi,0,blank,0,blank,0,"blank"
72,"Full Metal Panic? Fumoffu",https://cdn.myanimelist.net/images/anime/4/75,1,Action,4,Comedy,57,"Gag Humor",23,School,0,blank,0,blank,0,blank,0,"blank"
73,"Full Metal Panic! The Second Raid",https://cdn.myanimelist.net/images/anime/11/7,1,Action,18,Mecha,38,Military,0,blank,0,blank,0,blank,0,blank,0,"blank"
74,"Gakuen Alice",https://cdn.myanimelist.net/images/anime/4/18,4,Comedy,10,Fantasy,64,"Love Polygon",23,School,25,Shoujo,31,"Super Power",0,blank,0,"blank"
75,"Soukyuu no Fafner: Dead Aggressor",https://cdn.myanimelist.net/images/anime/3/50,1,Action,8,Drama,18,Mecha,38,Military,24,Sci-Fi,0,blank,0,blank,0,"blank"
76,"Mahou Shoujo Lyrical Nanoha",https://cdn.myanimelist.net/images/anime/1052,1,Action,4,Comedy,8,Drama,10,Fantasy,66,"Mahou Shoujo",0,blank,0,blank,0,"blank"
77,"Mahou Shoujo Lyrical Nanoha A's",https://cdn.myanimelist.net/images/anime/4/67,1,Action,4,Comedy,8,Drama,10,Fantasy,66,"Mahou Shoujo",0,blank,0,blank,0,"blank"
79,Shuffle!,https://cdn.myanimelist.net/images/anime/1290,4,Comedy,8,Drama,9,Ecchi,10,Fantasy,35,Harem,22,Romance,23,School,0,"blank"
80,"Kidou Senshi Gundam",https://cdn.myanimelist.net/images/anime/5/88,1,Action,8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,blank,0,"blank"
81,"Kidou Senshi Gundam: Dai 08 MS Shoutai",https://cdn.myanimelist.net/images/anime/9/75,2,Adventure,8,Drama,18,Mecha,38,Military,22,Romance,24,Sci-Fi,0,blank,0,"blank"
82,"Kidou Senshi Gundam 0080: Pocket no Naka no S",https://cdn.myanimelist.net/images/anime/1/82,8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,blank,0,blank,0,"blank"
83,"Kidou Senshi Gundam: Dai 08 MS Shoutai - Mill",https://cdn.myanimelist.net/images/anime/1132,8,Drama,18,Mecha,38,Military,22,Romance,24,Sci-Fi,0,blank,0,blank,0,"blank"
84,"Kidou Senshi Gundam 0083: Stardust Memory",https://cdn.myanimelist.net/images/anime/13/2,2,Adventure,8,Drama,18,Mecha,38,Military,22,Romance,24,Sci-Fi,29,Space,0,"blank"
85,"Kidou Senshi Zeta Gundam",https://cdn.myanimelist.net/images/anime/6/11,8,Drama,18,Mecha,38,Military,22,Romance,24,Sci-Fi,29,Space,0,blank,0,"blank"
86,"Kidou Senshi Gundam ZZ",https://cdn.myanimelist.net/images/anime/1848,4,Comedy,8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,blank,0,"blank"
87,"Kidou Senshi Gundam: Gyakushuu no Char",https://cdn.myanimelist.net/images/anime/1523,8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,blank,0,blank,0,"blank"
88,"Kidou Senshi Gundam F91",https://cdn.myanimelist.net/images/anime/1637,8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,blank,0,blank,0,"blank"
89,"Kidou Senshi Victory Gundam",https://cdn.myanimelist.net/images/anime/1913,8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,blank,0,blank,0,"blank"
90,"Shin Kidou Senki Gundam Wing",https://cdn.myanimelist.net/images/anime/1884,1,Action,8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,blank,0,"blank"
91,"Shin Kidou Senki Gundam Wing: Endless Waltz",https://cdn.myanimelist.net/images/anime/1061,1,Action,46,"Award Winning",8,Drama,18,Mecha,38,Military,24,Sci-Fi,29,Space,0,"blank"
92,"Kidou Shinseiki Gundam X",https://cdn.myanimelist.net/images/anime/10/1,2,Adventure,8,Drama,18,Mecha,24,Sci-Fi,29,Space,0,blank,0,blank,0,"blank"
93,"Kidou Senshi Gundam SEED",https://cdn.myanimelist.net/images/anime/1792,1,Action,46,"Award Winning",8,Drama,18,Mecha,38,Military,22,Romance,24,Sci-Fi,29,"Space"
94,"Kidou Senshi Gundam SEED Destiny",https://cdn.myanimelist.net/images/anime/1700,1,Action,8,Drama,18,Mecha,38,Military,22,Romance,24,Sci-Fi,29,Space,0,"blank"
95,"Turn A Gundam",https://cdn.myanimelist.net/images/anime/4/78,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
96,"Kidou Butouden G Gundam",https://cdn.myanimelist.net/images/anime/1187,1,Action,8,Drama,17,"Martial Arts",18,Mecha,22,Romance,24,Sci-Fi,29,Space,0,"blank"
97,"Last Exile",https://cdn.myanimelist.net/images/anime/7/10,1,Action,2,Adventure,24,Sci-Fi,0,blank,0,blank,0,blank,0,blank,0,"blank"
98,Mai-HiME,https://cdn.myanimelist.net/images/anime/13/7,1,Action,10,Fantasy,26,"Girls Love",66,"Mahou Shoujo",23,School,0,blank,0,blank,0,"blank"
99,Mai-Otome,https://cdn.myanimelist.net/images/anime/2/46,4,Comedy,8,Drama,10,Fantasy,0,blank,0,blank,0,blank,0,blank,0,"blank"
100,"Shin Shirayuki-hime Densetsu Prétear",https://cdn.myanimelist.net/images/anime/9/11,8,Drama,10,Fantasy,66,"Mahou Shoujo",73,"Reverse Harem",22,Romance,25,Shoujo,31,"Super Power",0,"blank"
101,Air,https://cdn.myanimelist.net/images/anime/8/22,8,Drama,22,Romance,37,Supernatural,0,blank,0,blank,0,blank,0,blank,0,"blank"
102,"Aishiteruze Baby★★",https://cdn.myanimelist.net/images/anime/2/69,53,Childcare,4,Comedy,8,Drama,22,Romance,25,Shoujo,0,blank,0,blank,0,"blank"
103,"Akazukin Chacha",https://cdn.myanimelist.net/images/anime/1098,2,Adventure,4,Comedy,10,Fantasy,66,"Mahou Shoujo",22,Romance,25,Shoujo,0,blank,0,"blank"
104,"Ayashi no Ceres",https://cdn.myanimelist.net/images/anime/1928,2,Adventure,8,Drama,14,Horror,40,Psychological,72,Reincarnation,22,Romance,25,Shoujo,37,"Supernatural"
105,"Boys Be...",https://cdn.myanimelist.net/images/anime/1/22,4,Comedy,22,Romance,23,School,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
106,"Hana yori Dango",https://cdn.myanimelist.net/images/anime/2/42,8,Drama,64,"Love Polygon",22,Romance,23,School,25,Shoujo,0,blank,0,blank,0,"blank"
107,"Ou Dorobou Jing",https://cdn.myanimelist.net/images/anime/1961,2,Adventure,4,Comedy,10,Fantasy,24,Sci-Fi,27,Shounen,0,blank,0,blank,0,"blank"
108,"Ou Dorobou Jing in Seventh Heaven",https://cdn.myanimelist.net/images/anime/1325,2,Adventure,4,Comedy,10,Fantasy,40,Psychological,27,Shounen,0,blank,0,blank,0,"blank"
109,"Bakuretsu Tenshi",https://cdn.myanimelist.net/images/anime/10/2,2,Adventure,4,Comedy,18,Mecha,24,Sci-Fi,0,blank,0,blank,0,blank,0,"blank"
110,"Chuuka Ichiban!",https://cdn.myanimelist.net/images/anime/6/75,1,Action,4,Comedy,8,Drama,47,Gourmet,27,Shounen,0,blank,0,blank,0,"blank"
111,"Corrector Yui",https://cdn.myanimelist.net/images/anime/1696,2,Adventure,4,Comedy,24,Sci-Fi,0,blank,0,blank,0,blank,0,blank,0,"blank"
112,"Chou Henshin Cosprayers",https://cdn.myanimelist.net/images/anime/5/75,1,Action,2,Adventure,4,Comedy,9,Ecchi,10,Fantasy,24,Sci-Fi,31,"Super Power",0,"blank"
113,"Uchuu no Stellvia",https://cdn.myanimelist.net/images/anime/1587,1,Action,18,Mecha,22,Romance,24,Sci-Fi,29,Space,0,blank,0,blank,0,"blank"
114,"Sakigake!! Cromartie Koukou",https://cdn.myanimelist.net/images/anime/1782,4,Comedy,55,Delinquents,57,"Gag Humor",23,School,27,Shounen,0,blank,0,blank,0,"blank"
115,"Ijigen no Sekai El-Hazard",https://cdn.myanimelist.net/images/anime/1843,2,Adventure,4,Comedy,10,Fantasy,62,Isekai,0,blank,0,blank,0,blank,0,"blank"
116,"Shinpi no Sekai El-Hazard (TV)",https://cdn.myanimelist.net/images/anime/13/2,2,Adventure,4,Comedy,10,Fantasy,62,Isekai,22,Romance,0,blank,0,blank,0,"blank"
117,"Shinpi no Sekai El-Hazard",https://cdn.myanimelist.net/images/anime/1893,2,Adventure,4,Comedy,10,Fantasy,62,Isekai,22,Romance,0,blank,0,blank,0,"blank"
118,"Shinpi no Sekai El-Hazard Season 2",https://cdn.myanimelist.net/images/anime/11/2,2,Adventure,4,Comedy,10,Fantasy,62,Isekai,0,blank,0,blank,0,blank,0,"blank"
119,"Final Approach",https://cdn.myanimelist.net/images/anime/11/1,4,Comedy,8,Drama,22,Romance,0,blank,0,blank,0,blank,0,blank,0,"blank"
120,"Fruits Basket",https://cdn.myanimelist.net/images/anime/4/75,8,Drama,64,"Love Polygon",22,Romance,23,School,25,Shoujo,37,Supernatural,0,blank,0,"blank"
121,"Fullmetal Alchemist",https://cdn.myanimelist.net/images/anime/10/7,1,Action,2,Adventure,46,"Award Winning",8,Drama,10,Fantasy,38,Military,27,Shounen,0,"blank"
122,"Full Moon wo Sagashite",https://cdn.myanimelist.net/images/anime/1900,4,Comedy,8,Drama,19,Music,22,Romance,25,Shoujo,37,Supernatural,0,blank,0,"blank"
123,"Fushigi Yuugi",https://cdn.myanimelist.net/images/anime/2/20,2,Adventure,10,Fantasy,13,Historical,62,Isekai,17,"Martial Arts",73,"Reverse Harem",22,Romance,25,"Shoujo"
124,"Fushigi Yuugi: Eikouden",https://cdn.myanimelist.net/images/anime/11/6,2,Adventure,8,Drama,10,Fantasy,62,Isekai,22,Romance,25,Shoujo,0,blank,0,"blank"
125,Futakoi,https://cdn.myanimelist.net/images/anime/1/12,4,Comedy,22,Romance,23,School,0,blank,0,blank,0,blank,0,blank,0,"blank"
126,"Futakoi Alternative",https://cdn.myanimelist.net/images/anime/6/16,4,Comedy,8,Drama,22,Romance,0,blank,0,blank,0,blank,0,blank,0,"blank"
127,"Gate Keepers",https://cdn.myanimelist.net/images/anime/12/1,1,Action,4,Comedy,10,Fantasy,18,Mecha,24,Sci-Fi,0,blank,0,blank,0,"blank"
128,"Gate Keepers 21",https://cdn.myanimelist.net/images/anime/6/75,1,Action,8,Drama,18,Mecha,24,Sci-Fi,0,blank,0,blank,0,blank,0,"blank"
129,"Gensoumaden Saiyuuki",https://cdn.myanimelist.net/images/anime/11/7,1,Action,2,Adventure,8,Drama,10,Fantasy,6,Mythology,27,Shounen,0,blank,0,"blank"
130,"Saiyuuki Reload",https://cdn.myanimelist.net/images/anime/1037,1,Action,2,Adventure,4,Comedy,8,Drama,43,Josei,6,Mythology,37,Supernatural,0,"blank"
131,"Saiyuuki Reload Gunlock",https://cdn.myanimelist.net/images/anime/1348,1,Action,2,Adventure,4,Comedy,8,Drama,43,Josei,6,Mythology,37,Supernatural,0,"blank"
132,GetBackers,https://cdn.myanimelist.net/images/anime/1056,1,Action,7,Mystery,27,Shounen,31,"Super Power",37,Supernatural,0,blank,0,blank,0,"blank"
133,"Green Green",https://cdn.myanimelist.net/images/anime/7/75,4,Comedy,9,Ecchi,22,Romance,23,School,0,blank,0,blank,0,blank,0,"blank"
134,"Gunslinger Girl",https://cdn.myanimelist.net/images/anime/5/30,1,Action,8,Drama,38,Military,40,Psychological,24,Sci-Fi,0,blank,0,blank,0,"blank"
135,"Hikaru no Go",https://cdn.myanimelist.net/images/anime/12/7,4,Comedy,8,Drama,23,School,27,Shounen,11,"Strategy Game",37,Supernatural,0,blank,0,"blank"
136,"Hunter x Hunter",https://cdn.myanimelist.net/images/anime/1305,1,Action,2,Adventure,10,Fantasy,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
137,"Hunter x Hunter: Original Video Animation",https://cdn.myanimelist.net/images/anime/1/13,1,Action,2,Adventure,10,Fantasy,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
138,"Hunter x Hunter: Greed Island",https://cdn.myanimelist.net/images/anime/1902,1,Action,2,Adventure,10,Fantasy,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
139,"Hunter x Hunter: Greed Island Final",https://cdn.myanimelist.net/images/anime/1/13,1,Action,2,Adventure,10,Fantasy,27,Shounen,0,blank,0,blank,0,blank,0,"blank"
141,Jinki:Extend,https://cdn.myanimelist.net/images/anime/3/44,18,Mecha,24,Sci-Fi,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
142,"Kamikaze Kaitou Jeanne",https://cdn.myanimelist.net/images/anime/5/20,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
143,"Kannazuki no Miko",https://cdn.myanimelist.net/images/anime/8/73,8,Drama,26,"Girls Love",18,Mecha,27,Shounen,37,Supernatural,0,blank,0,blank,0,"blank"
144,Kanon,https://cdn.myanimelist.net/images/anime/1552,8,Drama,22,Romance,37,Supernatural,0,blank,0,blank,0,blank,0,blank,0,"blank"
145,"Kareshi Kanojo no Jijou",https://cdn.myanimelist.net/images/anime/1222,4,Comedy,8,Drama,22,Romance,23,School,25,Shoujo,0,blank,0,blank,0,"blank"
146,"Kono Minikuku mo Utsukushii Sekai",https://cdn.myanimelist.net/images/anime/10/2,4,Comedy,8,Drama,9,Ecchi,22,Romance,24,Sci-Fi,0,blank,0,blank,0,"blank"
147,"Kimi ga Nozomu Eien",https://cdn.myanimelist.net/images/anime/5/10,8,Drama,64,"Love Polygon",22,Romance,0,blank,0,blank,0,blank,0,blank,0,"blank"
148,"Kita e.: Diamond Dust Drops",https://cdn.myanimelist.net/images/anime/1488,8,Drama,22,Romance,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
149,Loveless,https://cdn.myanimelist.net/images/anime/2/22,28,"Boys Love",8,Drama,43,Josei,7,Mystery,37,Supernatural,0,blank,0,blank,0,"blank"
150,Blood+,https://cdn.myanimelist.net/images/anime/10/1,1,Action,8,Drama,58,Gore,14,Horror,38,Military,7,Mystery,37,Supernatural,32,"Vampire"
151,"Re: Cutie Honey",https://cdn.myanimelist.net/images/anime/6/52,1,Action,4,Comedy,9,Ecchi,26,"Girls Love",24,Sci-Fi,0,blank,0,blank,0,"blank"
152,"Solty Rei",https://cdn.myanimelist.net/images/anime/3/75,1,Action,24,Sci-Fi,31,"Super Power",0,blank,0,blank,0,blank,0,blank,0,"blank"
153,"Juuni Kokuki",https://cdn.myanimelist.net/images/anime/6/50,1,Action,2,Adventure,10,Fantasy,62,Isekai,0,blank,0,blank,0,blank,0,"blank"
154,"Shaman King",https://cdn.myanimelist.net/images/anime/1722,1,Action,2,Adventure,27,Shounen,31,"Super Power",37,Supernatural,0,blank,0,blank,0,"blank"
155,X/1999,https://cdn.myanimelist.net/images/anime/7/23,1,Action,8,Drama,10,Fantasy,7,Mystery,25,Shoujo,31,"Super Power",0,blank,0,"blank"
156,X,https://cdn.myanimelist.net/images/anime/8/17,1,Action,8,Drama,10,Fantasy,7,Mystery,25,Shoujo,31,"Super Power",0,blank,0,"blank"
157,"Mahou Sensei Negima!",https://cdn.myanimelist.net/images/anime/12/8,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
158,"Maria-sama ga Miteru",https://cdn.myanimelist.net/images/anime/1994,8,Drama,26,"Girls Love",23,School,25,Shoujo,0,blank,0,blank,0,blank,0,"blank"
159,"Boukyaku no Senritsu",https://cdn.myanimelist.net/images/anime/9/52,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
160,"Ima, Soko ni Iru Boku",https://cdn.myanimelist.net/images/anime/1094,2,Adventure,8,Drama,10,Fantasy,62,Isekai,38,Military,24,Sci-Fi,0,blank,0,"blank"
161,"Peace Maker Kurogane",https://cdn.myanimelist.net/images/anime/10/7,1,Action,4,Comedy,13,Historical,21,Samurai,27,Shounen,0,blank,0,blank,0,"blank"
162,"Pita Ten",https://cdn.myanimelist.net/images/anime/7/25,4,Comedy,10,Fantasy,22,Romance,23,School,27,Shounen,0,blank,0,blank,0,"blank"
163,"Power Stone",https://cdn.myanimelist.net/images/anime/1110,2,Adventure,4,Comedy,10,Fantasy,13,Historical,0,blank,0,blank,0,blank,0,"blank"
164,"Mononoke Hime",https://cdn.myanimelist.net/images/anime/7/75,1,Action,2,Adventure,46,"Award Winning",10,Fantasy,0,blank,0,blank,0,blank,0,"blank"
165,RahXephon,https://cdn.myanimelist.net/images/anime/13/7,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
166,"Samurai 7",https://cdn.myanimelist.net/images/anime/1190,1,Action,13,Historical,18,Mecha,21,Samurai,24,Sci-Fi,0,blank,0,blank,0,"blank"
167,"Scrapped Princess",https://cdn.myanimelist.net/images/anime/1238,1,Action,2,Adventure,8,Drama,10,Fantasy,18,Mecha,24,Sci-Fi,0,blank,0,"blank"
168,s.CRY.ed,https://cdn.myanimelist.net/images/anime/8/89,1,Action,2,Adventure,8,Drama,24,Sci-Fi,31,"Super Power",0,blank,0,blank,0,"blank"
169,"Shingetsutan Tsukihime",https://cdn.myanimelist.net/images/anime/12/2,1,Action,14,Horror,7,Mystery,22,Romance,31,"Super Power",37,Supernatural,32,Vampire,0,"blank"
170,"Slam Dunk",https://cdn.myanimelist.net/images/anime/12/8,23,School,27,Shounen,30,Sports,77,"Team Sports",0,blank,0,blank,0,blank,0,"blank"
171,"Strange Dawn",https://cdn.myanimelist.net/images/anime/12/7,2,Adventure,8,Drama,10,Fantasy,62,Isekai,0,blank,0,blank,0,blank,0,"blank"
173,Tactics,https://cdn.myanimelist.net/images/anime/8/37,13,Historical,7,Mystery,6,Mythology,27,Shounen,37,Supernatural,0,blank,0,blank,0,"blank"
174,"Tenjou Tenge",https://cdn.myanimelist.net/images/anime/1507,1,Action,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
175,"Tokyo Underground",https://cdn.myanimelist.net/images/anime/9/21,1,Action,2,Adventure,22,Romance,24,Sci-Fi,27,Shounen,31,"Super Power",0,blank,0,"blank"
176,"Triangle Heart: Sweet Songs Forever",https://cdn.myanimelist.net/images/anime/7/17,2,Adventure,22,Romance,0,blank,0,blank,0,blank,0,blank,0,blank,0,"blank"
